"n","Reaction","NAME.EQ"
"1","D-alanine-poly(phosphoribitol) ligase","45 ATP + 45 D-Ala + Prenol-45n teichoic acid => 45 PPi + 45 AMP + Prenol-45n teichoic acid-alanine substituted"
"2","Fatty acid oxidation (double bond on even num. carbon), peroxisomal","8 H2O + 8 NAD + TPNH + 8 O2 + 8 CoA + Octadecenoyl-CoA <=> 8 NADH + TPN + 9 Acetyl-CoA + 8 H2O2 + 7 H+"
"3","Fatty acid oxidation (double bond on odd num. carbon), peroxisomal","7 H2O + 7 NAD + 6 O2 + 7 CoA + Hexadecenoyl-CoA <=> 7 NADH + 8 Acetyl-CoA + 6 H2O2 + 7 H+"
"4","Fatty acid oxidation (n-C16:1)","7 H2O + ATP + 7 NAD + 8 CoA + 6 FAD + hexadecenoate <=> 7 NADH + PPi + AMP + 8 Acetyl-CoA + 6 H+ + 6 FADH2"
"5","fatty acid oxidation (double bonds on even num. carbon), peroxisomal","6 H2O + 6 NAD + TPNH + 6 O2 + 6 CoA + Tetradecenoyl-CoA <=> 6 NADH + TPN + 7 Acetyl-CoA + 6 H2O2 + 5 H+"
"6","anteisopentadecanoyl-lipoteichoic acid synthesis (n=24), unlinked, D-alanine substituted","24 ATP + H+ + 24 D-Ala + Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 PPi + 24 AMP + Anteisopentadecanoyllipoteichoic acid (n=24), linked, D-alanine substituted"
"7","anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), unlinked, D-alanine substituted","24 ATP + 24 D-Ala + Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 PPi + 24 AMP + Anteisoheptadecanoyllipoteichoic acid (n=24), linked, D-alanine substituted"
"8","isopentadecanoyl-lipoteichoic acid synthesis (n=24), unlinked, D-alanine substituted","24 ATP + 24 D-Ala + Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 PPi + 24 AMP + Isopentadecanoyllipoteichoic acid (n=24), linked, D-alanine substituted"
"9","stearoyl-lipoteichoic acid synthesis (n=24), unlinked, D-alanine substituted","24 ATP + 24 D-Ala + Stearoyllipoteichoic acid (n=24), linked, unsubstituted => 24 PPi + 24 AMP + Stearoyllipoteichoic acid (n=24), linked, D-alanine substituted"
"10","palmitoyl-lipoteichoic acid synthesis (n=24), unlinked, D-alanine substituted","24 ATP + 24 D-Ala + Palmitoyllipoteichoic acid (n=24), linked, unsubstituted => 24 PPi + 24 AMP + Palmitoyllipoteichoic acid (n=24), linked, D-alanine substituted"
"11","isoheptadecanoyl-lipoteichoic acid synthesis (n=24), unlinked, D-alanine substituted","24 ATP + 24 D-Ala + Isoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 PPi + 24 AMP + Isoheptadecanoyllipoteichoic acid (n=24), linked, D-alanine substituted"
"12","isotetradecanoyl-lipoteichoic acid synthesis (n=24), unlinked, D-alanine substituted","24 ATP + 24 D-Ala + Isotetradecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 PPi + 24 AMP + Isotetradecanoyllipoteichoic acid (n=24), linked, D-alanine substituted"
"13","isohexadecanoyl-lipoteichoic acid synthesis (n=24), unlinked, D-alanine substituted","24 ATP + 24 D-Ala + Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 PPi + 24 AMP + Isohexadecanoyllipoteichoic acid (n=24), linked, D-alanine substituted"
"14","myristoyl-lipoteichoic acid synthesis (n=24), unlinked, D-alanine substituted","24 ATP + 24 D-Ala + Myristoyllipoteichoic acid (n=24), linked, unsubstituted => 24 PPi + 24 AMP + 2 H+ + Myristoyllipoteichoic acid (n=24), linked, D-alanine substituted"
"15","anteisopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Anteisopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
