"n","Reaction","NAME.EQ"
"1","thiol-containing-reductant:hydroperoxide oxidoreductase","2 RSH + ROOH <=> H2O + Alcohol + R-S-S-R"
"2","thiol-containing-reductant:hydroperoxide oxidoreductase","2 RSH + ROOH <=> H2O + ROH + R-S-S-R"
"3","coproporphyrinogen-III:S-adenosyl-L-methionine","2 SAM + CoproporphyrinogenIII <=> 2 CO2 + 2 Methionine + ProtoporphyrinogenIX + 2 5'-Deoxyadenosine"
"4","Biotin synthase","SAM + S + Dethiobiotin <=> Methionine + H+ + BIOT + 5'-Deoxyadenosine"
"5","beta-D-Glucuronoside glucuronosohydrolase","H2O + Glucuronide <=> Alcohol + Glucuronate"
"6","S-Adenosyl-L-methionine:1-precorrin-6Y C5,15-methyltransferase","2 SAM + Precorrin 6Y <=> CO2 + 2 S-Adenosylhomocysteine + 2 H+ + Precorrin 8"
"7","UDPglucuronate beta-D-glucuronosyltransferase (acceptor-unspecific)"," UDP-glucuronate + ROH <=> UDP + beta-D-Glucuronoside"
"8","protoporphyrinogen oxidase (anaerobic)","3 Fumarate + ProtoporphyrinogenIX <=> 3 Succinate + Protoporphyrin"
"9","Protein-N(pai)-phosphohistidine:sugar N(pai)-phosphotransferase","H+ + Salicin + Protein N-pros-phosphohistidine <=> Salicin-6P + Protein histidine"
"10","Protein-N(pai)-phosphohistidine:N-Acetyl-D-galactosamine","H+ + N-Acetyl-D-galactosamine + Protein N-pros-phosphohistidine <=> N-Acetyl-D-galactosamine 6-phosphate + Protein histidine"
"11","Dethiobiotin:sulfur sulfurtransferase","2 S + Dethiobiotin <=> BIOT + H2S"
"12","rxn04674","SAM + Demethylphylloquinone <=> S-Adenosylhomocysteine + H+ + Vitamin K1"
"13","S-adenosyl-L-methionine:(E)-prop-1-ene-1,2,3-tricarboxylate","SAM + trans-Aconitate <=> S-Adenosylhomocysteine + (E)-3-(Methoxycarbonyl)pent-2-enedioate"
"14","Coproporphyrinogen:oxygen oxidoreductase(decarboxylating)","O2 + 2 H+ + CoproporphyrinogenIII <=> 2 H2O + 2 CO2 + ProtoporphyrinogenIX"
"15","S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase","2 SAM + UroporphyrinogenIII <=> 2 S-Adenosylhomocysteine + 2 H+ + Precorrin 2"
