"n","Reaction","NAME.EQ"
"1","O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)","H2S2O3 + O-Acetyl-L-homoserine + trdrd <=> ACET + HSO3- + L-Homocysteine + trdox"
"2","cysteine synthase (Thiosulfate)","H2S2O3 + O-Acetyl-L-serine + trdrd <=> ACET + HSO3- + L-Cysteine + trdox"
"3","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"4","peptide-methionine:thioredoxin-disulfide S-oxidoreductase","H2O + trdox + Peptide-L-methionine <=> trdrd + Peptide-L-methionine (R)-S-oxide"
"5","adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase","PAPS + trdrd <=> PAP + HSO3- + trdox"
"6","fatty-acyl-ACP synthase (n-C18:1ACP), mitochondrial","3 TPNH + O2 + 4 H+ + Malonyl-acyl-carrierprotein- + Palmitoyl-ACP <=> 3 H2O + 3 TPN + CO2 + ACP + Octadecenoyl-ACP"
"7","APSPTi","APS + trdrd <=> AMP + HSO3- + trdox"
"8","hydrogen-sulfide:NADP+ oxidoreductase","3 H2O + 3 TPN + H2S <=> 3 TPNH + 4 H+ + HSO3-"
"9","Uroporphyrinogen I carboxy-lyase","4 H+ + UroporphyrinogenI <=> 4 CO2 + CoproporphyrinogenI"
"10","L-methionine:oxidized-thioredoxin S-oxidoreductase","H2O + Methionine + trdox <=> L-Methionine S-oxide + trdrd"
"11","rxn06979","2 H2O + 2 ATP + 2 L-Glutamine + Cobyrinate <=> 2 ADP + 2 Phosphate + 2 GLU + 2 H+ + Cob(II)yrinate diamide"
"12","L-methionine R-oxide reductase (trdrd)","trdrd + L-methionine R-oxide <=> H2O + Methionine + trdox"
"13","2'-Deoxycytidine diphosphate:oxidized-thioredoxin 2'-oxidoreductase","H2O + dCDP + trdox <=> CDP + trdrd"
"14","TRDR","TPNH + H+ + trdox <=> TPN + trdrd"
"15","Phytase (periplasm)","6 H2O + Phytate <=> 6 Phosphate + 6 H+ + Bios I"
