"n","Reaction","NAME.EQ"
"1","Fatty acid oxidation (double bond on even num. carbon), peroxisomal","8 H2O + 8 NAD + TPNH + 8 O2 + 8 CoA + Octadecenoyl-CoA <=> 8 NADH + TPN + 9 Acetyl-CoA + 8 H2O2 + 7 H+"
"2","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"3","rxn06887","2 H2O + 2 ATP + 2 L-Glutamine + Hydrogenobyrinate <=> 2 ADP + 2 Phosphate + 2 GLU + 2 H+ + Hydrogenobyrinate diamide"
"4","rxn06979","2 H2O + 2 ATP + 2 L-Glutamine + Cobyrinate <=> 2 ADP + 2 Phosphate + 2 GLU + 2 H+ + Cob(II)yrinate diamide"
"5","Hydrogenobyrinate  <=> Hydrogenobyrinate a,c diamide","H2O + 2 ATP + 2 L-Glutamine + Hydrogenobyrinate <=> 2 ADP + PPi + 2 GLU + Hydrogenobyrinate diamide"
"6","Inositol-pentakisphosphate 2-kinase","NONE"
"7","FMN-dependent monooxygenase (hexanesulfonate)","O2 + FMNH2 + hexanesulfonate <=> H2O + FMN + HSO3- + hexanal"
"8","FMN-dependent monooxygenase (taurine)","O2 + Taurine + FMNH2 <=> H2O + FMN + HSO3- + Aminoacetaldehyde"
"9","FMNH2-dependent monooxygenase (butanesulfonate)","O2 + FMNH2 + butanesulfonate <=> H2O + FMN + HSO3- + Butanal"
"10","Carbon-dioxide:L-glutamine amido-ligase (ADP-forming,","H2O + 2 ATP + L-Glutamine + HCO3- <=> 2 ADP + Phosphate + GLU + H+ + Carbamoylphosphate"
"11","FMNH2-dependent monooxygenase","O2 + FMNH2 + Isethionate <=> H2O + FMN + HSO3- + Glycolaldehyde"
"12","fatty-acid--CoA ligase (octadecenoate)","ATP + CoA + H+ + octadecenoate <=> PPi + AMP + Octadecenoyl-CoA"
"13","FMNH2-dependent monooxygenase (sulfoacetate)","O2 + FMNH2 + Sulfoacetate <=> H2O + Glyoxylate + FMN + HSO3-"
"14","FMNH2-dependent monooxygenase (methanesulfonate)","O2 + FMNH2 + methanesulfonate <=> H2O + FMN + Methanal + HSO3-"
"15","FMNH2-dependent monooxygenase (ethanesulfonate)","O2 + FMNH2 + ethanesulfonate <=> H2O + FMN + AALD + HSO3-"
