"n","Reaction","NAME.EQ"
"1","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"2","FMN-dependent monooxygenase (hexanesulfonate)","O2 + FMNH2 + hexanesulfonate <=> H2O + FMN + HSO3- + hexanal"
"3","FMN-dependent monooxygenase (taurine)","O2 + Taurine + FMNH2 <=> H2O + FMN + HSO3- + Aminoacetaldehyde"
"4","FMNH2-dependent monooxygenase (methanesulfonate)","O2 + FMNH2 + methanesulfonate <=> H2O + FMN + Methanal + HSO3-"
"5","FMNH2-dependent monooxygenase (butanesulfonate)","O2 + FMNH2 + butanesulfonate <=> H2O + FMN + HSO3- + Butanal"
"6","FMNH2-dependent monooxygenase","O2 + FMNH2 + Isethionate <=> H2O + FMN + HSO3- + Glycolaldehyde"
"7","FMNH2-dependent monooxygenase (ethanesulfonate)","O2 + FMNH2 + ethanesulfonate <=> H2O + FMN + AALD + HSO3-"
"8","O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)","H2S2O3 + O-Acetyl-L-homoserine + trdrd <=> ACET + HSO3- + L-Homocysteine + trdox"
"9","FMNH2-dependent monooxygenase (sulfoacetate)","O2 + FMNH2 + Sulfoacetate <=> H2O + Glyoxylate + FMN + HSO3-"
"10","cysteine synthase (Thiosulfate)","H2S2O3 + O-Acetyl-L-serine + trdrd <=> ACET + HSO3- + L-Cysteine + trdox"
"11","cob(II)yrinic acid-a,c-diamide:FMN oxidoreductase","FMNH2 + 2 Cob(II)yrinate diamide <=> FMN + 2 H+ + 2 Cob(I)yrinate diamide"
"12","rxn06979","2 H2O + 2 ATP + 2 L-Glutamine + Cobyrinate <=> 2 ADP + 2 Phosphate + 2 GLU + 2 H+ + Cob(II)yrinate diamide"
"13","Hydrogenobyrinate  <=> Hydrogenobyrinate a,c diamide","H2O + 2 ATP + 2 L-Glutamine + Hydrogenobyrinate <=> 2 ADP + PPi + 2 GLU + Hydrogenobyrinate diamide"
"14","adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase","PAPS + trdrd <=> PAP + HSO3- + trdox"
"15","C180SN","16 TPNH + 23 H+ + Acetoacetyl-ACP + 7 Malonyl-acyl-carrierprotein- <=> 8 H2O + 16 TPN + 7 CO2 + 7 ACP + Octadecanoyl-ACP"
