"n","Reaction","NAME.EQ"
"1","reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)","16 H2O + 16 ATP + N2 + 8 Reducedferredoxin <=> 16 ADP + 16 Phosphate + 2 NH3 + 6 H+ + 8 Oxidizedferredoxin + H2"
"2","Fatty acid oxidation (double bond on even num. carbon), peroxisomal","8 H2O + 8 NAD + TPNH + 8 O2 + 8 CoA + Octadecenoyl-CoA <=> 8 NADH + TPN + 9 Acetyl-CoA + 8 H2O2 + 7 H+"
"3","Fatty acid oxidation (double bond on even num. carbon), peroxisomal","7 H2O + 7 NAD + TPNH + 7 O2 + 7 CoA + Hexadecenoyl-CoA <=> 7 NADH + TPN + 8 Acetyl-CoA + 7 H2O2 + 6 H+"
"4","C180SN","16 TPNH + 23 H+ + Acetoacetyl-ACP + 7 Malonyl-acyl-carrierprotein- <=> 8 H2O + 16 TPN + 7 CO2 + 7 ACP + Octadecanoyl-ACP"
"5","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"6","3-hydroxyadipyl-CoA dehydrogenase","(3S)-3-Hydroxyadipyl-CoA <=> 3-Oxoadipyl-CoA + H2"
"7","Nitrogen:(NAD) oxidoreductase (N2O-forming)","H2O + NAD + N2 <=> NADH + Nitrous oxide"
"8","Inositol-pentakisphosphate 2-kinase","NONE"
"9","Acetaldehyde dehydrogenase","2 NADH + Acetyl-CoA + 2 H+ <=> 2 NAD + CoA + ETOH"
"10","ammonium-hydroxide:NADP+ oxidoreductase","2 H2O + 3 NAD + NH3 <=> 3 NADH + 5 H+ + Nitrite"
"11","rxn06979","2 H2O + 2 ATP + 2 L-Glutamine + Cobyrinate <=> 2 ADP + 2 Phosphate + 2 GLU + 2 H+ + Cob(II)yrinate diamide"
"12","fatty-acid--CoA ligase (octadecenoate)","ATP + CoA + H+ + octadecenoate <=> PPi + AMP + Octadecenoyl-CoA"
"13","fatty-acyl-ACP synthase (n-C16:1ACP), mitochondrial","3 TPNH + O2 + 4 H+ + Myristoyl-ACP + Malonyl-acyl-carrierprotein- <=> 3 H2O + 3 TPN + CO2 + ACP + Hexadecenoyl-ACP"
"14","fatty-acyl-ACP synthase (n-C18:1ACP), mitochondrial","3 TPNH + O2 + 4 H+ + Malonyl-acyl-carrierprotein- + Palmitoyl-ACP <=> 3 H2O + 3 TPN + CO2 + ACP + Octadecenoyl-ACP"
"15","rxn03826","2 H2O + ATP + NAD + CoA + FAD + Melilotate => NADH + PPi + AMP + Acetyl-CoA + H+ + SALC + FADH2"
