"n","Reaction","NAME.EQ"
"1","Peptidoglycan subunit synthesis","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala + Peptidoglycan polymer (n-1 subunits) => Undecaprenyldiphosphate + Peptidoglycan polymer (n subunits)"
"2","di-trans,poly-cis-Decaprenyl-diphosphate:isopentenyl-diphosphate","7 Isopentenyldiphosphate + trans,trans,cis-Geranylgeranyl diphosphate <=> 7 PPi + Undecaprenyldiphosphate"
"3","fatty-acyl-ACP synthase (n-C18:1ACP), mitochondrial","3 TPNH + O2 + 4 H+ + Malonyl-acyl-carrierprotein- + Palmitoyl-ACP <=> 3 H2O + 3 TPN + CO2 + ACP + Octadecenoyl-ACP"
"4","ammonium-hydroxide:NAD(P)+ oxidoreductase","2 H2O + 3 TPN + NH3 <=> 3 TPNH + 5 H+ + Nitrite"
"5","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"6","Uroporphyrinogen I carboxy-lyase","4 H+ + UroporphyrinogenI <=> 4 CO2 + CoproporphyrinogenI"
"7","hydrogen-sulfide:NADP+ oxidoreductase","3 H2O + 3 TPN + H2S <=> 3 TPNH + 4 H+ + HSO3-"
"8","3-methylbutanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)","H+ + Malonyl-acyl-carrierprotein- + isovaleryl-ACP <=> CO2 + ACP + 5-methyl-3-oxo-hexanoyl-ACP"
"9","S-Adenosyl-L-methionine:1-precorrin-6Y C5,15-methyltransferase","2 SAM + Precorrin 6Y <=> CO2 + 2 S-Adenosylhomocysteine + 2 H+ + Precorrin 8"
"10","2-methylpropionyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)","H+ + Malonyl-acyl-carrierprotein- + isobutyryl-ACP <=> CO2 + ACP + 4-methyl-3-oxo-pentanoyl-ACP"
"11","4-methyl-3-oxo-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)","H+ + Malonyl-acyl-carrierprotein- + 2-methylbutyryl-ACP <=> CO2 + ACP + 4-methyl-3-oxo-hexanoyl-ACP"
"12","Acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein]","H+ + Malonyl-acyl-carrierprotein- + Acetyl-ACP <=> CO2 + Acetoacetyl-ACP + ACP"
"13","5-methyl-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)","H+ + Malonyl-acyl-carrierprotein- + 5-methyl-hexanoyl-ACP <=> CO2 + ACP + 7-methyl-3-oxo-octanoyl-ACP"
"14","4-methyl-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)","H+ + Malonyl-acyl-carrierprotein- + 4-methyl-hexanoyl-ACP <=> CO2 + ACP + 6-methyl-3-oxo-octanoyl-ACP"
"15","7-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)","H+ + Malonyl-acyl-carrierprotein- + 7-methyl-octanoyl-ACP <=> CO2 + ACP + 9-methyl-3-oxo-decanoyl-ACP"
