"n","Reaction","NAME.EQ"
"1","Cellobiose:quinone 1-oxidoreductase","CELB + Quinone <=> Quinol + Cellobiono-1,5-lactone"
"2","Nitrous-oxide:(acceptor) oxidoreductase (NO-forming)","H+ + Quinol + 2 NO <=> H2O + Quinone + Nitrous oxide"
"3","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"4","Cellobiose:oxygen 1-oxidoreductase","O2 + CELB <=> H2O2 + Cellobiono-1,5-lactone"
"5","Nitrous-oxide:(acceptor) oxidoreductase (NO-forming)","NADH + 2 H+ + 2 NO <=> H2O + NAD + Nitrous oxide"
"6","Reduced azurin:oxygen oxidoreductase","H2O + NO + Oxidized azurin <=> 2 H+ + Nitrite + Reduced azurin"
"7","FMN-dependent monooxygenase (hexanesulfonate)","O2 + FMNH2 + hexanesulfonate <=> H2O + FMN + HSO3- + hexanal"
"8","FMN-dependent monooxygenase (taurine)","O2 + Taurine + FMNH2 <=> H2O + FMN + HSO3- + Aminoacetaldehyde"
"9","Hydrogenobyrinate  <=> Hydrogenobyrinate a,c diamide","H2O + 2 ATP + 2 L-Glutamine + Hydrogenobyrinate <=> 2 ADP + PPi + 2 GLU + Hydrogenobyrinate diamide"
"10","FMNH2-dependent monooxygenase (butanesulfonate)","O2 + FMNH2 + butanesulfonate <=> H2O + FMN + HSO3- + Butanal"
"11","FMNH2-dependent monooxygenase (methanesulfonate)","O2 + FMNH2 + methanesulfonate <=> H2O + FMN + Methanal + HSO3-"
"12","O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)","H2S2O3 + O-Acetyl-L-homoserine + trdrd <=> ACET + HSO3- + L-Homocysteine + trdox"
"13","rxn06979","2 H2O + 2 ATP + 2 L-Glutamine + Cobyrinate <=> 2 ADP + 2 Phosphate + 2 GLU + 2 H+ + Cob(II)yrinate diamide"
"14","cysteine synthase (Thiosulfate)","H2S2O3 + O-Acetyl-L-serine + trdrd <=> ACET + HSO3- + L-Cysteine + trdox"
"15","FMNH2-dependent monooxygenase","O2 + FMNH2 + Isethionate <=> H2O + FMN + HSO3- + Glycolaldehyde"
