"n","Reaction","NAME.EQ"
"1","Cellobiose:quinone 1-oxidoreductase","CELB + Quinone <=> Quinol + Cellobiono-1,5-lactone"
"2","Nitrous-oxide:(acceptor) oxidoreductase (NO-forming)","H+ + Quinol + 2 NO <=> H2O + Quinone + Nitrous oxide"
"3","Cellobiose:oxygen 1-oxidoreductase","O2 + CELB <=> H2O2 + Cellobiono-1,5-lactone"
"4","Nitrous-oxide:(acceptor) oxidoreductase (NO-forming)","NADH + 2 H+ + 2 NO <=> H2O + NAD + Nitrous oxide"
"5","O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)","H2S2O3 + O-Acetyl-L-homoserine + trdrd <=> ACET + HSO3- + L-Homocysteine + trdox"
"6","cysteine synthase (Thiosulfate)","H2S2O3 + O-Acetyl-L-serine + trdrd <=> ACET + HSO3- + L-Cysteine + trdox"
"7","peptide-methionine:thioredoxin-disulfide S-oxidoreductase","H2O + trdox + Peptide-L-methionine <=> trdrd + Peptide-L-methionine (R)-S-oxide"
"8","coproporphyrinogen-III:S-adenosyl-L-methionine","2 SAM + CoproporphyrinogenIII <=> 2 CO2 + 2 Methionine + ProtoporphyrinogenIX + 2 5'-Deoxyadenosine"
"9","Reduced azurin:oxygen oxidoreductase","H2O + NO + Oxidized azurin <=> 2 H+ + Nitrite + Reduced azurin"
"10","C180SN","16 TPNH + 23 H+ + Acetoacetyl-ACP + 7 Malonyl-acyl-carrierprotein- <=> 8 H2O + 16 TPN + 7 CO2 + 7 ACP + Octadecanoyl-ACP"
"11","Protein-N(pai)-phosphohistidine:N-Acetyl-D-galactosamine","H+ + N-Acetyl-D-galactosamine + Protein N-pros-phosphohistidine <=> N-Acetyl-D-galactosamine 6-phosphate + Protein histidine"
"12","Protein-N(pai)-phosphohistidine:sugar N(pai)-phosphotransferase","H+ + Salicin + Protein N-pros-phosphohistidine <=> Salicin-6P + Protein histidine"
"13","adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase","PAPS + trdrd <=> PAP + HSO3- + trdox"
"14","S-Adenosyl-L-methionine:1-precorrin-6Y C5,15-methyltransferase","2 SAM + Precorrin 6Y <=> CO2 + 2 S-Adenosylhomocysteine + 2 H+ + Precorrin 8"
"15","Protoporphyrinogen-IX:oxygen oxidoreductase","3 O2 + 2 ProtoporphyrinogenIX <=> 6 H2O + 2 Protoporphyrin"
