"n","Reaction","NAME.EQ"
"1","FMN-dependent monooxygenase (hexanesulfonate)","O2 + FMNH2 + hexanesulfonate <=> H2O + FMN + HSO3- + hexanal"
"2","FMNH2-dependent monooxygenase (butanesulfonate)","O2 + FMNH2 + butanesulfonate <=> H2O + FMN + HSO3- + Butanal"
"3","FMN-dependent monooxygenase (taurine)","O2 + Taurine + FMNH2 <=> H2O + FMN + HSO3- + Aminoacetaldehyde"
"4","Acyl-CoA:isopenicillin N N-acyltransferase","H2O + Phenylacetyl-CoA + Isopenicillin N <=> CoA + H+ + L-2-Aminoadipate + Penicillin G"
"5","FMNH2-dependent monooxygenase","O2 + FMNH2 + Isethionate <=> H2O + FMN + HSO3- + Glycolaldehyde"
"6","Acyl-CoA:isopenicillin N N-acyltransferase","H2O + Isopenicillin N + Acyl-CoA <=> CoA + H+ + L-2-Aminoadipate + Penam"
"7","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"8","FMNH2-dependent monooxygenase (methanesulfonate)","O2 + FMNH2 + methanesulfonate <=> H2O + FMN + Methanal + HSO3-"
"9","FMNH2-dependent monooxygenase (ethanesulfonate)","O2 + FMNH2 + ethanesulfonate <=> H2O + FMN + AALD + HSO3-"
"10","FMNH2-dependent monooxygenase (sulfoacetate)","O2 + FMNH2 + Sulfoacetate <=> H2O + Glyoxylate + FMN + HSO3-"
"11","O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)","H2S2O3 + O-Acetyl-L-homoserine + trdrd <=> ACET + HSO3- + L-Homocysteine + trdox"
"12","cob(II)yrinic acid-a,c-diamide:FMN oxidoreductase","FMNH2 + 2 Cob(II)yrinate diamide <=> FMN + 2 H+ + 2 Cob(I)yrinate diamide"
"13","Taurine, 2-oxoglutarate:O2 oxidoreductase (sulfite-forming)","O2 + 2-Oxoglutarate + Taurine <=> CO2 + Succinate + HSO3- + Aminoacetaldehyde"
"14","coproporphyrinogen-III:S-adenosyl-L-methionine","2 SAM + CoproporphyrinogenIII <=> 2 CO2 + 2 Methionine + ProtoporphyrinogenIX + 2 5'-Deoxyadenosine"
"15","fatty-acyl-ACP synthase (n-C18:1ACP), mitochondrial","3 TPNH + O2 + 4 H+ + Malonyl-acyl-carrierprotein- + Palmitoyl-ACP <=> 3 H2O + 3 TPN + CO2 + ACP + Octadecenoyl-ACP"
