"n","Reaction","NAME.EQ"
"1","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"2","stearoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Stearoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Stearoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"3","palmitoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Palmitoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Palmitoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"4","myristoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Myristoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Myristoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"5","isopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"6","anteisopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Anteisopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"7","isoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"8","isohexadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isohexadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"9","isotetradecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isotetradecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isotetradecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"10","anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"11","rxn06979","2 H2O + 2 ATP + 2 L-Glutamine + Cobyrinate <=> 2 ADP + 2 Phosphate + 2 GLU + 2 H+ + Cob(II)yrinate diamide"
"12","FMN-dependent monooxygenase (hexanesulfonate)","O2 + FMNH2 + hexanesulfonate <=> H2O + FMN + HSO3- + hexanal"
"13","FMNH2-dependent monooxygenase (butanesulfonate)","O2 + FMNH2 + butanesulfonate <=> H2O + FMN + HSO3- + Butanal"
"14","FMN-dependent monooxygenase (taurine)","O2 + Taurine + FMNH2 <=> H2O + FMN + HSO3- + Aminoacetaldehyde"
"15","Hydrogenobyrinate  <=> Hydrogenobyrinate a,c diamide","H2O + 2 ATP + 2 L-Glutamine + Hydrogenobyrinate <=> 2 ADP + PPi + 2 GLU + Hydrogenobyrinate diamide"
